HOME	Episode Date	Episode Type	Episode Title	Episode Topic	Episode Topic	Section 1	Section 2	Section 3	Section 4	Conclusion	Status	Optimized Title	Optimized Description	Optimized Script	Optimized Tags
259	09/04/2027	Friday Healing	CPTSD and Developing a Positive Mindset	Developing a positive mindset in recovery	Introduction to Developing a positive mindset in recovery	Detailed explanation of Developing a positive mindset in recovery	Discuss real - life examples or listener stories about Developing a positive mindset in recovery	Provide research, tools, or techniques for better management of Developing a positive mindset in recovery	Suggest resources or next steps for continued growth regarding Developing a positive mindset in recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Developing a positive mindset in recovery	FALSE				
260	12/04/2027	Main Podcast	How to Handle Emotional Overload	Handling emotional overload in stressful situations	Introduction to Handling emotional overload in stressful situations	Detailed explanation of Handling emotional overload in stressful situations	Discuss real - life examples or listener stories about Handling emotional overload in stressful situations	Provide research, tools, or techniques for better management of Handling emotional overload in stressful situations	Suggest resources or next steps for continued growth regarding Handling emotional overload in stressful situations	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Handling emotional overload in stressful situations	FALSE				
261	16/04/2027	Friday Healing	Managing Expectations During Recovery	Managing expectations for yourself and others during recovery	Introduction to Managing expectations for yourself and others during recovery	Detailed explanation of Managing expectations for yourself and others during recovery	Discuss real - life examples or listener stories about Managing expectations for yourself and others during recovery	Provide research, tools, or techniques for better management of Managing expectations for yourself and others during recovery	Suggest resources or next steps for continued growth regarding Managing expectations for yourself and others during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Managing expectations for yourself and others during recovery	FALSE				
262	19/04/2027	Main Podcast	Healing the Nervous System: Techniques to Calm Your Body	Techniques for calming the nervous system and managing stress	Introduction to Techniques for calming the nervous system and managing stress	Detailed explanation of Techniques for calming the nervous system and managing stress	Discuss real - life examples or listener stories about Techniques for calming the nervous system and managing stress	Provide research, tools, or techniques for better management of Techniques for calming the nervous system and managing stress	Suggest resources or next steps for continued growth regarding Techniques for calming the nervous system and managing stress	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Techniques for calming the nervous system and managing stress	FALSE				
263	23/04/2027	Friday Healing	CPTSD: Overcoming the Fear of Success	Overcoming the fear of success in recovery	Introduction to Overcoming the fear of success in recovery	Detailed explanation of Overcoming the fear of success in recovery	Discuss real - life examples or listener stories about Overcoming the fear of success in recovery	Provide research, tools, or techniques for better management of Overcoming the fear of success in recovery	Suggest resources or next steps for continued growth regarding Overcoming the fear of success in recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Overcoming the fear of success in recovery	FALSE				
264	26/04/2027	Main Podcast	How to Feel Safe in Your Own Skin Again	Learning to feel safe and comfortable in your own body	Introduction to Learning to feel safe and comfortable in your own body	Detailed explanation of Learning to feel safe and comfortable in your own body	Discuss real - life examples or listener stories about Learning to feel safe and comfortable in your own body	Provide research, tools, or techniques for better management of Learning to feel safe and comfortable in your own body	Suggest resources or next steps for continued growth regarding Learning to feel safe and comfortable in your own body	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Learning to feel safe and comfortable in your own body	FALSE				
265	30/04/2027	Friday Healing	CPTSD: Overcoming Emotional Avoidance	Overcoming emotional avoidance and facing your feelings	Introduction to Overcoming emotional avoidance and facing your feelings	Detailed explanation of Overcoming emotional avoidance and facing your feelings	Discuss real - life examples or listener stories about Overcoming emotional avoidance and facing your feelings	Provide research, tools, or techniques for better management of Overcoming emotional avoidance and facing your feelings	Suggest resources or next steps for continued growth regarding Overcoming emotional avoidance and facing your feelings	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Overcoming emotional avoidance and facing your feelings	FALSE				
266	03/05/2027	Main Podcast	Managing Stress and Burnout During Recovery	Managing stress and avoiding burnout during recovery	Introduction to Managing stress and avoiding burnout during recovery	Detailed explanation of Managing stress and avoiding burnout during recovery	Discuss real - life examples or listener stories about Managing stress and avoiding burnout during recovery	Provide research, tools, or techniques for better management of Managing stress and avoiding burnout during recovery	Suggest resources or next steps for continued growth regarding Managing stress and avoiding burnout during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Managing stress and avoiding burnout during recovery	FALSE				
267	07/05/2027	Friday Healing	Healing Through Acts of Service	Healing through acts of service and helping others	Introduction to Healing through acts of service and helping others	Detailed explanation of Healing through acts of service and helping others	Discuss real - life examples or listener stories about Healing through acts of service and helping others	Provide research, tools, or techniques for better management of Healing through acts of service and helping others	Suggest resources or next steps for continued growth regarding Healing through acts of service and helping others	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Healing through acts of service and helping others	FALSE				
268	10/05/2027	Main Podcast	CPTSD: Embracing the Journey of Recovery	Embracing the recovery journey with all its ups and downs	Introduction to Embracing the recovery journey with all its ups and downs	Detailed explanation of Embracing the recovery journey with all its ups and downs	Discuss real - life examples or listener stories about Embracing the recovery journey with all its ups and downs	Provide research, tools, or techniques for better management of Embracing the recovery journey with all its ups and downs	Suggest resources or next steps for continued growth regarding Embracing the recovery journey with all its ups and downs	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Embracing the recovery journey with all its ups and downs	FALSE				
269	14/05/2027	Friday Healing	How to Create Boundaries with Toxic People	How to create boundaries with toxic individuals	Introduction to How to create boundaries with toxic individuals	Detailed explanation of How to create boundaries with toxic individuals	Discuss real - life examples or listener stories about How to create boundaries with toxic individuals	Provide research, tools, or techniques for better management of How to create boundaries with toxic individuals	Suggest resources or next steps for continued growth regarding How to create boundaries with toxic individuals	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of How to create boundaries with toxic individuals	FALSE				
270	17/05/2027	Main Podcast	Healing from Past Relationships	Healing from the emotional wounds of past relationships	Introduction to Healing from the emotional wounds of past relationships	Detailed explanation of Healing from the emotional wounds of past relationships	Discuss real - life examples or listener stories about Healing from the emotional wounds of past relationships	Provide research, tools, or techniques for better management of Healing from the emotional wounds of past relationships	Suggest resources or next steps for continued growth regarding Healing from the emotional wounds of past relationships	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Healing from the emotional wounds of past relationships	FALSE				
271	21/05/2027	Friday Healing	Developing Positive Affirmations for Healing	Developing positive affirmations to guide your healing	Introduction to Developing positive affirmations to guide your healing	Detailed explanation of Developing positive affirmations to guide your healing	Discuss real - life examples or listener stories about Developing positive affirmations to guide your healing	Provide research, tools, or techniques for better management of Developing positive affirmations to guide your healing	Suggest resources or next steps for continued growth regarding Developing positive affirmations to guide your healing	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Developing positive affirmations to guide your healing	FALSE				
272	24/05/2027	Main Podcast	CPTSD: Managing Panic Attacks in Public	Managing panic attacks in public situations	Introduction to Managing panic attacks in public situations	Detailed explanation of Managing panic attacks in public situations	Discuss real - life examples or listener stories about Managing panic attacks in public situations	Provide research, tools, or techniques for better management of Managing panic attacks in public situations	Suggest resources or next steps for continued growth regarding Managing panic attacks in public situations	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Managing panic attacks in public situations	FALSE				
273	28/05/2027	Friday Healing	How to Protect Your Mental Health in Daily Life	How to protect your mental health in everyday life	Introduction to How to protect your mental health in everyday life	Detailed explanation of How to protect your mental health in everyday life	Discuss real - life examples or listener stories about How to protect your mental health in everyday life	Provide research, tools, or techniques for better management of How to protect your mental health in everyday life	Suggest resources or next steps for continued growth regarding How to protect your mental health in everyday life	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of How to protect your mental health in everyday life	FALSE				
274	31/05/2027	Main Podcast	The Role of Physical Activity in Recovery	The role of physical activity in trauma recovery	Introduction to The role of physical activity in trauma recovery	Detailed explanation of The role of physical activity in trauma recovery	Discuss real - life examples or listener stories about The role of physical activity in trauma recovery	Provide research, tools, or techniques for better management of The role of physical activity in trauma recovery	Suggest resources or next steps for continued growth regarding The role of physical activity in trauma recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of The role of physical activity in trauma recovery	FALSE				
275	04/06/2027	Friday Healing	Learning to Accept Your Feelings Without Judgment	Learning to accept your feelings without judgment	Introduction to Learning to accept your feelings without judgment	Detailed explanation of Learning to accept your feelings without judgment	Discuss real - life examples or listener stories about Learning to accept your feelings without judgment	Provide research, tools, or techniques for better management of Learning to accept your feelings without judgment	Suggest resources or next steps for continued growth regarding Learning to accept your feelings without judgment	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Learning to accept your feelings without judgment	FALSE				
276	07/06/2027	Main Podcast	CPTSD: Overcoming Feelings of Hopelessness	Overcoming feelings of hopelessness during CPTSD recovery	Introduction to Overcoming feelings of hopelessness during CPTSD recovery	Detailed explanation of Overcoming feelings of hopelessness during CPTSD recovery	Discuss real - life examples or listener stories about Overcoming feelings of hopelessness during CPTSD recovery	Provide research, tools, or techniques for better management of Overcoming feelings of hopelessness during CPTSD recovery	Suggest resources or next steps for continued growth regarding Overcoming feelings of hopelessness during CPTSD recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Overcoming feelings of hopelessness during CPTSD recovery	FALSE				
277	11/06/2027	Friday Healing	How to Manage Change in Your Life After Trauma	How to manage change and uncertainty in your life	Introduction to How to manage change and uncertainty in your life	Detailed explanation of How to manage change and uncertainty in your life	Discuss real - life examples or listener stories about How to manage change and uncertainty in your life	Provide research, tools, or techniques for better management of How to manage change and uncertainty in your life	Suggest resources or next steps for continued growth regarding How to manage change and uncertainty in your life	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of How to manage change and uncertainty in your life	FALSE				
278	14/06/2027	Main Podcast	Building Healthy Relationships After Trauma	Building healthy and supportive relationships after trauma	Introduction to Building healthy and supportive relationships after trauma	Detailed explanation of Building healthy and supportive relationships after trauma	Discuss real - life examples or listener stories about Building healthy and supportive relationships after trauma	Provide research, tools, or techniques for better management of Building healthy and supportive relationships after trauma	Suggest resources or next steps for continued growth regarding Building healthy and supportive relationships after trauma	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Building healthy and supportive relationships after trauma	FALSE				
279	18/06/2027	Friday Healing	How to Handle Setbacks During Recovery	Handling setbacks and obstacles during recovery	Introduction to Handling setbacks and obstacles during recovery	Detailed explanation of Handling setbacks and obstacles during recovery	Discuss real - life examples or listener stories about Handling setbacks and obstacles during recovery	Provide research, tools, or techniques for better management of Handling setbacks and obstacles during recovery	Suggest resources or next steps for continued growth regarding Handling setbacks and obstacles during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Handling setbacks and obstacles during recovery	FALSE				
280	21/06/2027	Main Podcast	CPTSD: Learning to Let Go of Control	Learning to let go of control and trust the healing process	Introduction to Learning to let go of control and trust the healing process	Detailed explanation of Learning to let go of control and trust the healing process	Discuss real - life examples or listener stories about Learning to let go of control and trust the healing process	Provide research, tools, or techniques for better management of Learning to let go of control and trust the healing process	Suggest resources or next steps for continued growth regarding Learning to let go of control and trust the healing process	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Learning to let go of control and trust the healing process	FALSE				
281	25/06/2027	Friday Healing	The Power of Support Groups in Trauma Recovery	The power and importance of support groups	Introduction to The power and importance of support groups	Detailed explanation of The power and importance of support groups	Discuss real - life examples or listener stories about The power and importance of support groups	Provide research, tools, or techniques for better management of The power and importance of support groups	Suggest resources or next steps for continued growth regarding The power and importance of support groups	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of The power and importance of support groups	FALSE				
282	28/06/2027	Main Podcast	Healing Through Mindful Practices	Using mindfulness practices to aid in trauma recovery	Introduction to Using mindfulness practices to aid in trauma recovery	Detailed explanation of Using mindfulness practices to aid in trauma recovery	Discuss real - life examples or listener stories about Using mindfulness practices to aid in trauma recovery	Provide research, tools, or techniques for better management of Using mindfulness practices to aid in trauma recovery	Suggest resources or next steps for continued growth regarding Using mindfulness practices to aid in trauma recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Using mindfulness practices to aid in trauma recovery	FALSE				
283	02/07/2027	Friday Healing	CPTSD: Starting Anew After Trauma	How to rebuild your life after experiencing trauma	Introduction to How to rebuild your life after experiencing trauma	Detailed explanation of How to rebuild your life after experiencing trauma	Discuss real - life examples or listener stories about How to rebuild your life after experiencing trauma	Provide research, tools, or techniques for better management of How to rebuild your life after experiencing trauma	Suggest resources or next steps for continued growth regarding How to rebuild your life after experiencing trauma	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of How to rebuild your life after experiencing trauma	FALSE				
284	05/07/2027	Main Podcast	How to Stay Positive in the Face of Adversity	Staying positive in the face of adversity and setbacks	Introduction to Staying positive in the face of adversity and setbacks	Detailed explanation of Staying positive in the face of adversity and setbacks	Discuss real - life examples or listener stories about Staying positive in the face of adversity and setbacks	Provide research, tools, or techniques for better management of Staying positive in the face of adversity and setbacks	Suggest resources or next steps for continued growth regarding Staying positive in the face of adversity and setbacks	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Staying positive in the face of adversity and setbacks	FALSE				
285	09/07/2027	Friday Healing	Managing the Emotional Rollercoaster of Recovery	Managing the emotional ups and downs of recovery	Introduction to Managing the emotional ups and downs of recovery	Detailed explanation of Managing the emotional ups and downs of recovery	Discuss real - life examples or listener stories about Managing the emotional ups and downs of recovery	Provide research, tools, or techniques for better management of Managing the emotional ups and downs of recovery	Suggest resources or next steps for continued growth regarding Managing the emotional ups and downs of recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Managing the emotional ups and downs of recovery	FALSE				
286	12/07/2027	Main Podcast	CPTSD: Embracing New Beginnings	Embracing new beginnings and opportunities during recovery	Introduction to Embracing new beginnings and opportunities during recovery	Detailed explanation of Embracing new beginnings and opportunities during recovery	Discuss real - life examples or listener stories about Embracing new beginnings and opportunities during recovery	Provide research, tools, or techniques for better management of Embracing new beginnings and opportunities during recovery	Suggest resources or next steps for continued growth regarding Embracing new beginnings and opportunities during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Embracing new beginnings and opportunities during recovery	FALSE				
287	16/07/2027	Friday Healing	Learning to Trust Again After Trauma	Learning to trust again after trauma	Introduction to Learning to trust again after trauma	Detailed explanation of Learning to trust again after trauma	Discuss real - life examples or listener stories about Learning to trust again after trauma	Provide research, tools, or techniques for better management of Learning to trust again after trauma	Suggest resources or next steps for continued growth regarding Learning to trust again after trauma	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Learning to trust again after trauma	FALSE				
288	19/07/2027	Main Podcast	CPTSD: Finding Your Inner Peace	Finding inner peace in your healing journey	Introduction to Finding inner peace in your healing journey	Detailed explanation of Finding inner peace in your healing journey	Discuss real - life examples or listener stories about Finding inner peace in your healing journey	Provide research, tools, or techniques for better management of Finding inner peace in your healing journey	Suggest resources or next steps for continued growth regarding Finding inner peace in your healing journey	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Finding inner peace in your healing journey	FALSE				
289	23/07/2027	Friday Healing	Managing Emotional Reactions in Recovery	Managing emotional reactions during recovery	Introduction to Managing emotional reactions during recovery	Detailed explanation of Managing emotional reactions during recovery	Discuss real - life examples or listener stories about Managing emotional reactions during recovery	Provide research, tools, or techniques for better management of Managing emotional reactions during recovery	Suggest resources or next steps for continued growth regarding Managing emotional reactions during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Managing emotional reactions during recovery	FALSE				
290	26/07/2027	Main Podcast	How to Reclaim Your Personal Power	Reclaiming your personal power and control over your life	Introduction to Reclaiming your personal power and control over your life	Detailed explanation of Reclaiming your personal power and control over your life	Discuss real - life examples or listener stories about Reclaiming your personal power and control over your life	Provide research, tools, or techniques for better management of Reclaiming your personal power and control over your life	Suggest resources or next steps for continued growth regarding Reclaiming your personal power and control over your life	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Reclaiming your personal power and control over your life	FALSE				
291	30/07/2027	Friday Healing	CPTSD: Overcoming the Fear of Failure	Overcoming the fear of failure and taking risks	Introduction to Overcoming the fear of failure and taking risks	Detailed explanation of Overcoming the fear of failure and taking risks	Discuss real - life examples or listener stories about Overcoming the fear of failure and taking risks	Provide research, tools, or techniques for better management of Overcoming the fear of failure and taking risks	Suggest resources or next steps for continued growth regarding Overcoming the fear of failure and taking risks	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Overcoming the fear of failure and taking risks	FALSE				
292	02/08/2027	Main Podcast	Healing Through Positive Self Talk	Using positive self-talk to promote healing	Introduction to Using positive self - talk to promote healing	Detailed explanation of Using positive self - talk to promote healing	Discuss real - life examples or listener stories about Using positive self - talk to promote healing	Provide research, tools, or techniques for better management of Using positive self - talk to promote healing	Suggest resources or next steps for continued growth regarding Using positive self - talk to promote healing	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Using positive self - talk to promote healing	FALSE				
293	06/08/2027	Friday Healing	Learning to Love Yourself Again After Trauma	Learning to love yourself again after experiencing trauma	Introduction to Learning to love yourself again after experiencing trauma	Detailed explanation of Learning to love yourself again after experiencing trauma	Discuss real - life examples or listener stories about Learning to love yourself again after experiencing trauma	Provide research, tools, or techniques for better management of Learning to love yourself again after experiencing trauma	Suggest resources or next steps for continued growth regarding Learning to love yourself again after experiencing trauma	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Learning to love yourself again after experiencing trauma	FALSE				
294	09/08/2027	Main Podcast	CPTSD: How to Maintain Hope During Recovery	How to maintain hope and optimism during recovery	Introduction to How to maintain hope and optimism during recovery	Detailed explanation of How to maintain hope and optimism during recovery	Discuss real - life examples or listener stories about How to maintain hope and optimism during recovery	Provide research, tools, or techniques for better management of How to maintain hope and optimism during recovery	Suggest resources or next steps for continued growth regarding How to maintain hope and optimism during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of How to maintain hope and optimism during recovery	FALSE				
295	13/08/2027	Friday Healing	The Power of Forgiveness in Your Healing Journey	The power of forgiveness in your journey to healing	Introduction to The power of forgiveness in your journey to healing	Detailed explanation of The power of forgiveness in your journey to healing	Discuss real - life examples or listener stories about The power of forgiveness in your journey to healing	Provide research, tools, or techniques for better management of The power of forgiveness in your journey to healing	Suggest resources or next steps for continued growth regarding The power of forgiveness in your journey to healing	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of The power of forgiveness in your journey to healing	FALSE				
296	16/08/2027	Main Podcast	CPTSD: Understanding Your Triggers and How to Manage Them	Understanding and managing your triggers during recovery	Introduction to Understanding and managing your triggers during recovery	Detailed explanation of Understanding and managing your triggers during recovery	Discuss real - life examples or listener stories about Understanding and managing your triggers during recovery	Provide research, tools, or techniques for better management of Understanding and managing your triggers during recovery	Suggest resources or next steps for continued growth regarding Understanding and managing your triggers during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Understanding and managing your triggers during recovery	FALSE				
297	20/08/2027	Friday Healing	How to Create a Positive Future After Trauma	Creating a positive and fulfilling future after trauma	Introduction to Creating a positive and fulfilling future after trauma	Detailed explanation of Creating a positive and fulfilling future after trauma	Discuss real - life examples or listener stories about Creating a positive and fulfilling future after trauma	Provide research, tools, or techniques for better management of Creating a positive and fulfilling future after trauma	Suggest resources or next steps for continued growth regarding Creating a positive and fulfilling future after trauma	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Creating a positive and fulfilling future after trauma	FALSE				
298	23/08/2027	Main Podcast	CPTSD: Overcoming Emotional Numbness	Overcoming emotional numbness and reconnecting with your feelings	Introduction to Overcoming emotional numbness and reconnecting with your feelings	Detailed explanation of Overcoming emotional numbness and reconnecting with your feelings	Discuss real - life examples or listener stories about Overcoming emotional numbness and reconnecting with your feelings	Provide research, tools, or techniques for better management of Overcoming emotional numbness and reconnecting with your feelings	Suggest resources or next steps for continued growth regarding Overcoming emotional numbness and reconnecting with your feelings	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Overcoming emotional numbness and reconnecting with your feelings	FALSE				
299	27/08/2027	Friday Healing	Learning to Live Without Fear	Living without fear and embracing life fully	Introduction to Living without fear and embracing life fully	Detailed explanation of Living without fear and embracing life fully	Discuss real - life examples or listener stories about Living without fear and embracing life fully	Provide research, tools, or techniques for better management of Living without fear and embracing life fully	Suggest resources or next steps for continued growth regarding Living without fear and embracing life fully	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Living without fear and embracing life fully	FALSE				
300	30/08/2027	Main Podcast	CPTSD: Managing Emotional Overload	Managing emotional overload during stressful situations	Introduction to Managing emotional overload during stressful situations	Detailed explanation of Managing emotional overload during stressful situations	Discuss real - life examples or listener stories about Managing emotional overload during stressful situations	Provide research, tools, or techniques for better management of Managing emotional overload during stressful situations	Suggest resources or next steps for continued growth regarding Managing emotional overload during stressful situations	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Managing emotional overload during stressful situations	FALSE				
301	03/09/2027	Friday Healing	Reclaiming Your Independence in Recovery	Reclaiming your independence and self-sufficiency	Introduction to Reclaiming your independence and self - sufficiency	Detailed explanation of Reclaiming your independence and self - sufficiency	Discuss real - life examples or listener stories about Reclaiming your independence and self - sufficiency	Provide research, tools, or techniques for better management of Reclaiming your independence and self - sufficiency	Suggest resources or next steps for continued growth regarding Reclaiming your independence and self - sufficiency	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Reclaiming your independence and self - sufficiency	FALSE				
302	06/09/2027	Main Podcast	CPTSD: Developing a Self Care Plan for Life	Developing a self-care plan that lasts a lifetime	Introduction to Developing a self - care plan that lasts a lifetime	Detailed explanation of Developing a self - care plan that lasts a lifetime	Discuss real - life examples or listener stories about Developing a self - care plan that lasts a lifetime	Provide research, tools, or techniques for better management of Developing a self - care plan that lasts a lifetime	Suggest resources or next steps for continued growth regarding Developing a self - care plan that lasts a lifetime	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Developing a self - care plan that lasts a lifetime	FALSE				
303	10/09/2027	Friday Healing	How to Balance Recovery with Everyday Life	Balancing your recovery with the demands of everyday life	Introduction to Balancing your recovery with the demands of everyday life	Detailed explanation of Balancing your recovery with the demands of everyday life	Discuss real - life examples or listener stories about Balancing your recovery with the demands of everyday life	Provide research, tools, or techniques for better management of Balancing your recovery with the demands of everyday life	Suggest resources or next steps for continued growth regarding Balancing your recovery with the demands of everyday life	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Balancing your recovery with the demands of everyday life	FALSE				
304	13/09/2027	Main Podcast	CPTSD: Reconnecting with Loved Ones	Reconnecting with loved ones and building strong relationships	Introduction to Reconnecting with loved ones and building strong relationships	Detailed explanation of Reconnecting with loved ones and building strong relationships	Discuss real - life examples or listener stories about Reconnecting with loved ones and building strong relationships	Provide research, tools, or techniques for better management of Reconnecting with loved ones and building strong relationships	Suggest resources or next steps for continued growth regarding Reconnecting with loved ones and building strong relationships	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Reconnecting with loved ones and building strong relationships	FALSE				
305	17/09/2027	Friday Healing	The Role of Laughter in Healing	The role of laughter and joy in healing	Introduction to The role of laughter and joy in healing	Detailed explanation of The role of laughter and joy in healing	Discuss real - life examples or listener stories about The role of laughter and joy in healing	Provide research, tools, or techniques for better management of The role of laughter and joy in healing	Suggest resources or next steps for continued growth regarding The role of laughter and joy in healing	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of The role of laughter and joy in healing	FALSE				
306	20/09/2027	Main Podcast	CPTSD: Finding Strength in Your Recovery Journey	Finding strength and resilience in your recovery journey	Introduction to Finding strength and resilience in your recovery journey	Detailed explanation of Finding strength and resilience in your recovery journey	Discuss real - life examples or listener stories about Finding strength and resilience in your recovery journey	Provide research, tools, or techniques for better management of Finding strength and resilience in your recovery journey	Suggest resources or next steps for continued growth regarding Finding strength and resilience in your recovery journey	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Finding strength and resilience in your recovery journey	FALSE				
307	24/09/2027	Friday Healing	Strengthening Emotional Resilience in Recovery	Building emotional resilience and strength	Introduction to Building emotional resilience and strength	Detailed explanation of Building emotional resilience and strength	Discuss real - life examples or listener stories about Building emotional resilience and strength	Provide research, tools, or techniques for better management of Building emotional resilience and strength	Suggest resources or next steps for continued growth regarding Building emotional resilience and strength	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Building emotional resilience and strength	FALSE				
308	27/09/2027	Main Podcast	CPTSD: Letting Go of the Past	Letting go of the past and embracing the present	Introduction to Letting go of the past and embracing the present	Detailed explanation of Letting go of the past and embracing the present	Discuss real - life examples or listener stories about Letting go of the past and embracing the present	Provide research, tools, or techniques for better management of Letting go of the past and embracing the present	Suggest resources or next steps for continued growth regarding Letting go of the past and embracing the present	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Letting go of the past and embracing the present	FALSE				
309	01/10/2027	Friday Healing	How to Create a Future You Can Be Proud Of	Creating a future that you can be proud of	Introduction to Creating a future that you can be proud of	Detailed explanation of Creating a future that you can be proud of	Discuss real - life examples or listener stories about Creating a future that you can be proud of	Provide research, tools, or techniques for better management of Creating a future that you can be proud of	Suggest resources or next steps for continued growth regarding Creating a future that you can be proud of	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Creating a future that you can be proud of	FALSE				
310	04/10/2027	Main Podcast	CPTSD: Rewriting Your Story	Rewriting your personal story and reclaiming your narrative	Introduction to Rewriting your personal story and reclaiming your narrative	Detailed explanation of Rewriting your personal story and reclaiming your narrative	Discuss real - life examples or listener stories about Rewriting your personal story and reclaiming your narrative	Provide research, tools, or techniques for better management of Rewriting your personal story and reclaiming your narrative	Suggest resources or next steps for continued growth regarding Rewriting your personal story and reclaiming your narrative	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Rewriting your personal story and reclaiming your narrative	FALSE				
311	08/10/2027	Friday Healing	Developing Emotional Awareness During Recovery	Developing emotional awareness and intelligence during recovery	Introduction to Developing emotional awareness and intelligence during recovery	Detailed explanation of Developing emotional awareness and intelligence during recovery	Discuss real - life examples or listener stories about Developing emotional awareness and intelligence during recovery	Provide research, tools, or techniques for better management of Developing emotional awareness and intelligence during recovery	Suggest resources or next steps for continued growth regarding Developing emotional awareness and intelligence during recovery	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Developing emotional awareness and intelligence during recovery	FALSE				
312	11/10/2027	Main Podcast	Healing Through Art and Creativity	Healing through creative expression and art	Introduction to Healing through creative expression and art	Detailed explanation of Healing through creative expression and art	Discuss real - life examples or listener stories about Healing through creative expression and art	Provide research, tools, or techniques for better management of Healing through creative expression and art	Suggest resources or next steps for continued growth regarding Healing through creative expression and art	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Healing through creative expression and art	FALSE				
313	15/10/2027	Friday Healing	CPTSD: Learning to Take Life One Day at a Time	Taking life one day at a time and finding peace in the present	Introduction to Taking life one day at a time and finding peace in the present	Detailed explanation of Taking life one day at a time and finding peace in the present	Discuss real - life examples or listener stories about Taking life one day at a time and finding peace in the present	Provide research, tools, or techniques for better management of Taking life one day at a time and finding peace in the present	Suggest resources or next steps for continued growth regarding Taking life one day at a time and finding peace in the present	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of Taking life one day at a time and finding peace in the present	FALSE				
314	16/10/2027	Special	The Power of Self Reflection in Recovery	The power of self-reflection in your recovery journey	Introduction to The power of self - reflection in your recovery journey	Detailed explanation of The power of self - reflection in your recovery journey	Discuss real - life examples or listener stories about The power of self - reflection in your recovery journey	Provide research, tools, or techniques for better management of The power of self - reflection in your recovery journey	Suggest resources or next steps for continued growth regarding The power of self - reflection in your recovery journey	Encourage listeners to stay tuned for future episodes. Next episode will be on another aspect of The power of self - reflection in your recovery journey	FALSE				
